id,nombre_asp,cantidad_especies,lista_especies
areas_silvestres_protegidas.57,Rio Macho,"9","Anoura geoffroyi, Saccopteryx bilineata, Sturnira ludovici, Sturnira oporaphilum, Eptesicus brasiliensis, Myotis chiloensis, Sturnira mordax, Carollia perspicillata, Artibeus aztecus"
areas_silvestres_protegidas.58,Pacuare Matina,"1",Rhynchonycteris naso
areas_silvestres_protegidas.59,Zona de Emergencia Volcan Arenal,"0",
areas_silvestres_protegidas.60,Barra del Colorado,"27","Thyroptera tricolor, Trinycteris nicefori, Carollia sowelli, Noctilio albiventris, Trachops cirrhosus, Centronycteris centralis, Promops centralis, Platyrrhinus helleri, Ectophylla alba, Carollia perspicillata, Vampyriscus nymphaea, Noctilio leporinus, Myotis riparius, Artibeus jamaicensis, Rhynchonycteris naso, Carollia castanea, Desmodus rotundus, Uroderma bilobatum, Artibeus glaucus, Glossophaga commissarisi, Hylonycteris underwoodi, Vampyrum spectrum, Artibeus phaeotis, Cormura brevirostris, Artibeus watsoni, Thyroptera discifera, Artibeus lituratus"
areas_silvestres_protegidas.61,Gandoca Manzanillo,"0",
areas_silvestres_protegidas.62,Gandoca Manzanillo,"1",Centronycteris centralis
areas_silvestres_protegidas.63,Cano Negro,"1",Rhynchonycteris naso
areas_silvestres_protegidas.64,Curu,"1",Noctilio leporinus
areas_silvestres_protegidas.65,Ostional,"0",
areas_silvestres_protegidas.66,Ostional,"0",
areas_silvestres_protegidas.67,Penas Blancas,"0",
areas_silvestres_protegidas.68,Bosque Alegre,"0",
areas_silvestres_protegidas.69,Lagunas las Camelias,"0",
areas_silvestres_protegidas.70,Mata Redonda,"0",
areas_silvestres_protegidas.71,Fernando Castro Cervantes,"0",
areas_silvestres_protegidas.72,Corredor Fronterizo,"2","Saccopteryx bilineata, Rhynchonycteris naso"
areas_silvestres_protegidas.73,Limoncito,"0",
areas_silvestres_protegidas.74,Hacienda La Avellana,"0",
areas_silvestres_protegidas.75,Camaronal,"0",
areas_silvestres_protegidas.76,Camaronal,"0",
areas_silvestres_protegidas.77,Iguanita,"0",
areas_silvestres_protegidas.78,Archie Carr,"0",
areas_silvestres_protegidas.79,Werner Sauter,"0",
areas_silvestres_protegidas.80,Finca Baru del Pacifico,"1",Thyroptera tricolor
areas_silvestres_protegidas.81,Portalon,"0",
areas_silvestres_protegidas.82,Cerro Redondo,"0",
areas_silvestres_protegidas.83,Transilvania,"0",
areas_silvestres_protegidas.84,Romelia,"0",
areas_silvestres_protegidas.85,Curi cancha,"6","Anoura geoffroyi, Desmodus rotundus, Sturnira burtonlimi, Choeroniscus godmani, Carollia sowelli, Eptesicus brasiliensis"
areas_silvestres_protegidas.86,La Ensenada,"7","Saccopteryx bilineata, Platyrrhinus vittatus, Desmodus rotundus, Uroderma bilobatum, Saccopteryx leptura, Phyllostomus hastatus, Carollia perspicillata"
areas_silvestres_protegidas.87,Playa Hermosa-Punta Mala,"0",
areas_silvestres_protegidas.88,Playa Hermosa-Punta Mala,"0",
areas_silvestres_protegidas.89,Isla San lucas,"0",
areas_silvestres_protegidas.90,Isla San Lucas,"0",
areas_silvestres_protegidas.91,Cipanci,"2","Saccopteryx bilineata, Rhynchonycteris naso"
areas_silvestres_protegidas.92,La Tirimbina,"8","Saccopteryx bilineata, Rhynchonycteris naso, Tonatia saurophila, Uroderma bilobatum, Centronycteris centralis, Platyrrhinus helleri, Gardnerycteris crenulatum, Ectophylla alba"
areas_silvestres_protegidas.93,Isla Chora,"0",
areas_silvestres_protegidas.94,Duaru,"0",
areas_silvestres_protegidas.95,Maquenque,"1",Rhynchonycteris naso
areas_silvestres_protegidas.96,Ara Macao,"0",
areas_silvestres_protegidas.97,Caletas Ario,"0",
areas_silvestres_protegidas.98,Caletas Ario,"1",Glyphonycteris sylvestris
areas_silvestres_protegidas.99,Montana de El Tigre,"0",
areas_silvestres_protegidas.100,Conchal,"0",
areas_silvestres_protegidas.101,Hacienda El Viejo,"2","Saccopteryx bilineata, Rhynchonycteris naso"
areas_silvestres_protegidas.102,Tapiria,"0",
areas_silvestres_protegidas.103,La Selva,"27","Thyroptera tricolor, Carollia sowelli, Trachops cirrhosus, Centronycteris centralis, Carollia brevicaudum, Platyrrhinus helleri, Ectophylla alba, Myotis elegans, Glossophaga soricina, Saccopteryx bilineata, Carollia perspicillata, Vampyriscus nymphaea, Lichonycteris obscura, Chiroderma villosum, Artibeus jamaicensis, Rhynchonycteris naso, Carollia castanea, Desmodus rotundus, Saccopteryx leptura, Glossophaga commissarisi, Phyllostomus discolor, Eptesicus furinalis, Hylonycteris underwoodi, Artibeus phaeotis, Myotis nigricans, Pteronotus gymnonotus, Artibeus lituratus"
areas_silvestres_protegidas.104,Lapa Verde,"0",
areas_silvestres_protegidas.105,Rio General,"0",
areas_silvestres_protegidas.106,Longo Mai,"0",
areas_silvestres_protegidas.107,Cerro de Escazu,"1",Carollia perspicillata
areas_silvestres_protegidas.108,Caraigres,"0",
areas_silvestres_protegidas.109,Las Tablas,"0",
areas_silvestres_protegidas.110,Cerros de La Carpintera,"2","Micronycteris megalotis, Glossophaga mutica"
areas_silvestres_protegidas.111,El Rodeo,"0",
areas_silvestres_protegidas.112,Cerro Atenas,"0",
areas_silvestres_protegidas.113,Rio Tiribi,"0",
areas_silvestres_protegidas.114,Cerros de Turrubares,"0",
areas_silvestres_protegidas.115,Rio Navarro-Rio Sombrero,"0",
areas_silvestres_protegidas.116,Rio Grande,"0",
areas_silvestres_protegidas.117,Cerro Nara,"0",
areas_silvestres_protegidas.118,El Chayote,"0",
areas_silvestres_protegidas.119,Cuenca del Rio Tuis,"0",
areas_silvestres_protegidas.120,Acuiferos Guacimo y Pococi,"0",
areas_silvestres_protegidas.121,Arenal Monteverde,"31","Anoura geoffroyi, Micronycteris megalotis, Glossophaga leachii, Noctilio albiventris, Trachops cirrhosus, Pteronotus parnellii, Artibeus toltecus, Carollia brevicaudum, Platyrrhinus helleri, Enchisthenes hartii, Vampyressa thyone, Artibeus aztecus, Glossophaga soricina, Carollia perspicillata, Centurio senex, Myotis riparius, Myotis pilosatibialis, Eptesicus andinus, Lonchorhina aurita, Carollia subrufa, Artibeus jamaicensis, Sturnira burtonlimi, Glossophaga commissarisi, Sturnira lilium, Platyrrhinus vittatus, Vampyrum spectrum, Choeroniscus godmani, Sturnira ludovici, Myotis nigricans, Eptesicus brasiliensis, Artibeus lituratus"
areas_silvestres_protegidas.122,Tenorio,"0",
areas_silvestres_protegidas.123,Miravalles,"0",
areas_silvestres_protegidas.124,Tortuguero,"1",Rhynchonycteris naso
areas_silvestres_protegidas.125,Rio Banano,"0",
areas_silvestres_protegidas.126,Rio Toro,"0",
areas_silvestres_protegidas.127,Peninsula de Nicoya,"0",
areas_silvestres_protegidas.128,Monte Alto,"0",
areas_silvestres_protegidas.129,Montes de Oro,"0",
areas_silvestres_protegidas.130,Cerro La Cruz,"0",
areas_silvestres_protegidas.131,Cuenca del Rio Abangares,"0",
areas_silvestres_protegidas.132,Cuenca Rio Siquirres,"1",Ectophylla alba
areas_silvestres_protegidas.133,Cerro El Chompipe,"0",
areas_silvestres_protegidas.134,Las Baulas de Guanacaste,"0",
areas_silvestres_protegidas.135,Riberino Zapandi,"0",
areas_silvestres_protegidas.136,Quitirrisi,"0",
areas_silvestres_protegidas.137,Miravalles-Jorge Manuel Dengo,"6","Phylloderma stenops, Platyrrhinus vittatus, Tonatia saurophila, Anoura cultrata, Pteronotus mesoamericanus, Sturnira mordax"
